annual_income,account_tenure_days,age,engagement_score,support_tickets,annual_spending
74758.97,145,47,74.25,0,185.21
26184.2,959,32,15.07,4,69.52
26482.92,839,46,25.7,2,69.18
62711.34,72,50,77.52,4,212.92
50617.41,269,33,53.47,1,68.41
66290.8,170,42,1.4,4,123.99
44213.3,1470,33,0.22,3,133.8
57123.97,104,35,51.07,2,176.98
53474.78,2006,27,30.5,6,94.75
75189.89,390,58,18.03,2,146.49
76408.91,126,55,61.36,4,166.59
20111.97,204,48,22.84,3,101.23
14242.74,180,67,59.22,3,94.16
85047.05,112,39,37.93,1,126.01
94206.91,443,81,18.67,3,172.25
27963.56,118,39,13.81,5,86.08
17625.3,45,45,23.69,3,38.46
51764.98,275,36,2.98,3,88.36
81794.15,66,46,30.81,4,150.29
131752.04,190,52,90.2,3,236.61
65118.48,162,40,83.14,4,262.05
39956.87,168,65,37.2,1,97.98
29994.77,2983,45,57.58,1,139.73
49330.52,426,45,56.74,2,109.05
41581.24,515,30,82.87,5,139.08
28049.12,68,47,23.63,2,97.82
151269.09,209,40,29.64,3,189.16
130854.67,500,34,30.18,2,216.97
91567.05,144,31,4.09,1,161.4
29540.94,1000,76,31.47,3,34.15
78453.44,121,38,87.79,0,224.26
69688.77,302,23,91.2,1,169.73
62529.9,224,32,10.96,2,67.87
97471.56,475,41,45.81,4,269.9
69525.87,212,49,38.13,2,135.83
73644.73,307,49,48.94,2,158.96
69584.59,318,50,55.47,4,213.15
59126.55,193,33,2.03,2,125.85
18379.92,655,46,84.22,1,96.53
51327.99,512,30,97.37,5,92.09
36101.67,369,33,65.34,4,79.43
24247.95,262,30,66.05,3,91.45
123623.9,894,26,52.8,4,258.05
126873.71,318,55,33.43,5,211.96
103525.3,296,50,14.9,2,183.33
56408.06,447,54,58.41,1,170.8
103037.04,2200,42,4.49,3,229.51
49346.85,105,52,82.45,2,161.37
54805.1,871,19,42.09,1,152.43
26865.3,60,53,41.48,2,139.7
60982.68,501,44,32.72,4,164.09
50676.23,1949,50,96.94,5,170.02
23945.64,657,46,17.49,2,88.18
47659.71,478,29,15.13,3,107.19
46917.63,230,22,16.55,2,102.53
131749.63,416,32,65.85,4,220.41
80163.0,313,49,99.19,2,165.75
49330.36,183,50,23.55,3,60.56
56209.05,301,24,90.56,11,113.73
50227.44,491,29,27.86,6,110.51
43844.18,187,32,64.79,1,136.85
27028.98,180,37,4.05,1,82.51
45112.81,103,24,49.57,5,139.53
32521.15,596,23,65.46,0,130.19
24644.93,695,31,53.63,9,1.34
64936.94,508,43,23.78,0,173.94
60790.91,1059,26,82.85,3,232.7
18348.64,440,40,97.01,2,115.76
45822.18,597,55,45.92,3,145.84
84764.81,546,25,63.59,5,144.09
87778.6,368,39,79.04,2,167.29
86181.45,237,55,24.15,3,141.58
50081.26,3692,36,86.45,3,195.01
30798.62,256,34,28.02,5,136.79
27010.09,207,57,77.58,7,0.0
59250.69,622,38,11.21,4,160.31
60391.52,518,56,28.84,4,158.08
99511.86,99,47,53.36,3,184.35
89768.45,1239,37,52.49,4,249.08
45582.28,367,48,85.04,0,117.24
24727.88,132,46,99.61,3,115.21
41129.93,1324,55,10.72,1,204.37
55241.91,754,34,27.14,4,223.33
43864.22,113,42,35.76,1,134.39
35673.32,2385,41,47.89,1,170.95
56335.87,779,51,49.39,2,198.9
37153.87,399,28,85.62,2,183.6
34702.38,1978,55,77.06,3,182.02
58180.12,473,48,1.89,3,139.57
39297.02,392,24,45.5,4,75.6
56064.46,208,57,61.81,3,186.04
56968.98,721,71,46.04,5,145.94
26194.74,649,55,13.06,4,43.45
37620.99,409,60,39.75,5,129.84
108096.25,183,43,41.17,4,205.19
25870.44,459,20,18.77,0,92.05
15303.55,376,18,75.63,3,90.99
17605.83,106,45,32.14,3,60.97
49811.96,92,34,58.9,2,147.92
49861.5,709,30,51.57,1,111.67
45950.23,29,41,87.74,6,92.9
95588.18,495,50,12.2,2,203.3
11270.47,250,23,11.43,2,84.57
60947.23,1492,36,30.03,4,218.62
115704.06,246,61,43.12,5,244.71
26363.1,780,28,29.85,5,129.69
39779.48,271,53,76.32,2,123.14
32399.86,452,35,24.53,4,38.39
29974.72,842,49,8.48,4,114.12
40968.38,254,56,41.38,4,105.37
107486.11,1092,51,77.34,1,239.95
134667.31,149,53,85.06,3,226.96
40750.91,541,27,73.33,2,113.28
139774.14,1014,56,55.79,6,245.66
49989.44,780,30,72.42,2,166.72
128608.74,2742,45,68.14,4,325.16
46568.78,188,45,23.44,2,122.25
52684.78,101,48,55.08,4,118.67
59934.7,149,46,77.06,4,171.99
281635.66,780,31,31.71,4,264.58
78292.5,663,24,65.4,5,179.26
33223.23,446,53,48.15,1,157.03
83528.97,131,44,50.32,1,161.38
40174.68,868,56,9.01,4,122.23
37445.33,118,41,66.62,4,151.59
80799.88,1285,23,86.57,3,215.63
49866.12,7026,54,14.14,4,152.32
57137.55,581,37,36.61,4,140.32
49399.32,722,46,4.87,4,112.96
58989.85,246,33,2.96,4,146.01
61928.22,66,63,98.97,3,226.93
16893.23,220,30,49.35,4,44.95
70729.28,135,37,35.55,4,135.56
28563.62,94,43,27.49,3,64.62
22175.33,2258,27,98.0,2,145.85
47470.98,529,46,25.23,5,106.47
51338.16,589,62,72.57,0,116.63
33475.58,296,35,28.38,2,69.83
77425.19,339,47,7.05,4,147.37
23430.73,1058,18,68.33,1,76.01
39190.16,390,41,0.16,6,55.31
35536.63,685,37,67.57,2,123.27
47780.7,331,31,25.04,4,133.18
57146.61,286,56,74.61,2,153.07
28160.03,98,37,76.98,5,81.22
73010.28,55,39,72.41,1,218.35
50749.21,310,37,2.45,1,95.74
17316.75,426,18,70.37,5,93.58
16693.5,111,27,99.01,2,129.46
48689.78,389,54,24.26,3,121.12
43410.99,425,18,27.42,3,96.64
46310.27,46,32,81.35,1,169.5
48272.13,161,36,16.04,2,133.75
55495.54,606,64,66.06,5,188.74
82553.95,594,51,75.5,3,137.73
26606.01,127,34,3.72,2,93.12
25730.07,472,58,55.38,5,76.56
26867.48,1121,32,57.59,2,100.27
57463.44,877,55,30.34,6,146.31
97218.96,366,24,87.63,6,194.39
38667.83,252,55,16.27,4,113.02
12382.82,215,36,36.42,4,70.32
19202.66,644,28,84.87,1,117.46
31002.71,490,39,19.06,6,79.88
36071.17,757,45,82.14,2,118.28
39159.03,460,35,7.91,0,103.86
50072.12,914,49,48.92,7,121.42
41296.77,443,34,7.53,3,116.29
87302.71,884,50,67.79,1,169.53
33799.13,963,47,79.06,2,157.48
30507.42,180,41,84.99,3,136.15
63791.9,66,36,98.13,2,243.25
21065.6,1888,43,67.2,9,21.7
60738.34,521,49,76.91,3,166.58
51865.25,72,68,50.58,3,93.08
45202.45,197,54,91.27,3,125.05
117424.62,872,54,64.38,2,246.0
34814.38,305,82,88.36,5,164.7
152232.46,241,48,23.55,2,207.27
43304.54,1637,48,49.67,4,134.06
24285.65,141,51,72.98,3,54.48
50942.65,181,28,20.27,0,53.77
27121.04,498,36,21.13,0,76.12
32420.11,596,35,97.8,4,113.43
60984.09,662,50,43.46,4,158.62
66540.77,1003,39,18.18,6,87.21
34815.14,492,43,33.15,2,124.31
84378.92,658,56,39.74,3,192.21
92654.17,311,53,62.31,6,226.46
108008.58,429,39,92.3,3,175.4
65589.92,449,33,98.66,2,150.76
103765.19,500,56,65.17,1,201.33
17423.25,873,52,69.99,0,103.35
41157.09,702,21,32.18,4,75.27
30428.87,421,37,85.72,7,126.36
52343.04,179,44,21.78,3,106.94
35799.99,431,52,10.64,4,115.92
44739.55,392,53,97.33,4,176.6
138025.84,489,45,86.41,7,175.51
44651.99,3664,49,30.36,2,167.36
61548.81,238,42,67.52,3,156.52
43141.98,615,33,46.7,2,87.03
51105.24,1174,38,32.31,4,170.53
49183.29,444,42,28.68,2,187.31
62728.94,4179,41,13.6,5,241.86
93052.5,276,18,54.93,1,216.41
121305.41,557,36,44.66,4,191.34
58121.51,181,42,51.22,1,194.64
67795.48,283,38,21.54,3,106.34
26030.51,517,38,93.86,2,55.98
46707.86,940,48,63.86,5,111.21
82220.44,555,27,89.96,2,222.12
78927.32,1420,20,10.93,4,263.16
55071.38,366,37,62.29,1,158.61
79818.99,289,51,84.95,2,171.69
64210.48,6026,63,33.09,3,176.43
94861.05,598,52,19.51,2,220.89
57477.42,196,22,26.5,2,141.86
40310.45,201,38,27.29,4,128.99
58965.79,157,45,44.72,3,187.3
9780.77,1029,44,32.6,1,87.84
60511.41,280,49,27.13,3,164.66
6590.42,458,30,64.85,3,69.98
18998.12,378,42,5.3,5,98.11
62847.9,838,47,34.04,3,186.3
63744.69,172,52,68.98,5,187.43
25865.47,137,31,17.58,4,72.0
33134.95,504,37,22.09,2,125.64
104171.88,735,18,20.07,3,257.53
37563.32,562,33,0.09,0,77.44
168317.3,179,35,47.38,3,186.35
48969.07,794,28,3.9,1,109.3
61354.26,191,44,27.29,2,110.67
119286.2,239,41,99.48,3,243.34
52683.89,156,18,91.84,0,130.57
28246.1,1482,44,21.51,0,159.87
46149.89,760,29,31.0,2,124.24
48070.03,738,48,46.37,2,157.55
23141.71,1404,25,84.44,0,131.11
42586.49,6718,42,80.26,1,150.32
32591.09,73,38,12.62,1,104.85
81503.14,192,45,12.44,7,107.13
49962.93,217,43,41.67,1,155.98
41959.59,172,38,87.01,2,147.98
46239.97,137,22,88.21,4,91.39
55421.18,298,22,10.74,2,78.19
68819.87,119,34,57.43,3,158.54
28287.02,563,41,15.57,6,0.0
27642.97,424,34,68.61,3,143.03
90000.78,652,50,91.64,1,248.34
39074.08,670,38,45.48,2,109.8
22487.99,737,29,8.31,1,52.28
62573.49,277,38,57.93,5,195.61
63250.19,3364,44,40.85,1,203.42
21122.76,510,46,81.09,5,66.13
55615.37,62,66,34.03,4,120.35
73465.46,148,33,87.49,3,191.34
60229.2,70,41,27.37,6,120.14
69396.37,410,47,15.75,5,193.16
22644.04,357,41,30.65,2,107.31
58810.29,252,35,3.49,1,133.46
41504.58,3013,21,28.12,2,170.39
37588.95,698,35,66.01,11,32.61
79126.7,833,28,14.23,7,86.93
110591.77,159,19,11.14,3,157.61
131518.6,148,31,13.24,2,168.79
101027.13,418,28,7.76,1,194.74
46149.72,479,49,87.46,4,104.86
59515.74,63,49,94.41,1,186.28
74738.65,336,30,4.66,7,93.0
52399.27,409,38,76.01,1,181.7
52676.27,325,18,73.72,5,72.57
77115.86,178,35,99.69,1,164.73
47448.23,235,47,34.79,3,92.59
32823.24,338,52,28.55,1,133.7
39028.2,441,32,45.31,5,114.33
69470.03,738,55,85.66,1,188.57
49101.57,1188,22,72.86,3,168.27
59107.64,300,25,47.16,4,178.79
70865.83,255,51,24.46,2,147.7
39888.25,624,63,72.7,2,101.95
74305.22,743,48,85.45,4,214.16
60376.99,261,41,40.0,1,154.57
24855.96,889,18,66.86,2,72.06
108365.78,1074,18,40.02,3,223.93
37219.59,1468,43,47.85,4,181.98
19726.09,2388,37,52.49,2,130.27
27590.48,169,27,77.57,3,130.7
27957.06,409,42,97.75,4,135.85
50447.85,408,43,44.44,1,142.92
42166.54,365,54,34.23,5,95.25
40730.9,210,43,37.36,3,145.68
68929.26,91,57,13.39,4,147.81
59096.76,442,42,29.69,3,237.62
58327.35,187,40,8.64,2,146.11
61414.77,439,55,42.79,1,186.95
68794.16,182,29,16.74,3,143.95
15376.96,134,78,34.64,4,48.25
40117.14,509,46,79.36,2,126.63
14777.85,469,46,24.59,3,97.4
50002.73,720,48,61.19,2,145.55
48896.05,3589,66,90.12,5,182.32
87120.09,532,52,56.69,1,179.43
94202.21,655,21,19.38,1,194.05
54804.43,137,60,34.48,0,104.36
37227.44,111,37,59.04,7,40.69
64012.82,1964,43,50.66,3,279.51
36667.47,160,25,14.86,3,75.75
48983.27,142,48,44.68,6,102.14
84320.05,387,33,54.31,3,172.79
36070.32,368,43,26.73,0,137.41
76353.05,163,38,61.24,2,170.35
71151.79,297,67,7.02,1,104.26
28994.59,1379,67,33.66,6,34.83
83754.21,180,42,80.43,6,188.47
71984.89,100,42,25.93,4,150.12
51847.36,1035,37,60.52,1,197.49
32232.23,660,56,41.0,4,160.9
30559.68,216,37,31.65,3,99.55
36471.47,82,36,91.61,1,167.46
66067.15,191,54,34.33,3,153.77
28981.3,381,35,23.67,3,54.15
62357.03,1294,41,90.93,2,235.05
24761.23,143,21,74.59,5,106.76
43816.35,370,51,68.18,5,112.85
52068.02,792,67,4.95,4,133.55
188117.41,37,51,13.12,2,190.43
22982.23,1134,61,63.83,4,176.3
110151.06,123,31,20.94,0,148.4
53231.91,562,45,22.56,3,137.93
61460.17,516,29,77.91,1,161.69
52317.77,1193,39,28.59,1,173.95
62604.96,699,52,7.16,5,149.57
45047.52,37,43,3.64,1,114.63
109068.09,184,23,44.32,5,221.71
38137.02,463,24,61.71,5,120.94
91375.17,331,24,86.89,5,262.89
34392.65,650,48,11.08,3,157.46
47422.95,888,68,19.67,7,80.58
27185.0,741,59,52.98,3,73.25
62960.51,325,18,36.41,2,153.11
108534.06,63,60,48.25,2,229.13
46978.91,255,54,92.41,4,128.82
43989.79,611,21,54.49,4,68.83
26554.66,135,38,41.51,3,26.69
43212.67,758,56,98.94,1,137.27
20413.73,1000,49,6.52,5,91.42
29670.75,457,24,93.21,1,58.37
55532.98,18,49,50.17,4,193.01
101261.06,112,18,50.38,3,206.8
229823.29,2660,39,92.2,1,334.21
35503.2,233,56,50.73,2,134.86
107949.1,55,42,43.84,4,184.61
56053.61,1387,35,27.25,1,242.92
45107.95,408,53,65.88,1,150.55
62188.6,1217,54,56.96,8,158.19
50718.91,532,59,21.43,2,79.94
52089.45,638,53,70.94,2,133.85
39160.22,579,56,64.41,2,100.61
22720.88,810,51,39.73,3,121.94
20973.31,3934,45,0.44,0,108.67
70212.71,1065,43,44.66,4,248.89
42100.5,83,38,0.61,2,31.73
35318.11,630,26,7.5,1,119.37
49250.66,1263,29,43.06,6,179.08
75903.09,1343,38,8.19,2,202.07
54133.05,263,45,27.57,5,102.34
34172.27,1293,60,65.55,4,141.92
96226.6,1020,41,30.86,5,232.58
116838.98,5284,55,99.76,0,304.31
64344.46,190,56,91.63,3,155.34
83743.59,242,38,58.53,3,167.14
97059.36,297,49,96.69,4,265.73
91267.92,247,38,86.8,5,236.01
68717.18,165,59,31.89,4,118.42
68124.41,25,50,74.96,3,211.19
65239.04,261,26,13.68,4,150.0
26808.23,583,44,68.46,1,69.59
72070.33,246,63,49.11,5,117.54
23255.62,2794,39,1.68,2,89.7
31665.1,408,47,27.42,2,141.28
100404.35,1467,49,95.54,3,302.15
77817.46,523,28,31.58,2,181.63
111087.01,921,48,18.15,3,243.87
42217.03,533,23,18.75,3,85.32
26010.7,1585,33,47.92,5,141.82
42948.61,426,55,84.26,3,115.14
51850.36,662,46,75.8,4,135.57
51197.39,581,38,43.69,2,83.93
91447.86,302,47,20.87,4,182.55
40187.1,604,41,4.61,1,152.05
59493.3,3768,42,46.26,1,215.16
28460.01,307,50,81.48,5,131.72
62797.75,613,32,72.97,2,103.45
49104.68,1419,42,40.86,0,145.24
32454.77,1261,37,59.47,4,151.52
43057.59,408,21,43.62,2,162.93
44298.38,37,30,57.9,5,89.67
42252.33,676,62,51.75,3,139.83
129863.31,43,47,68.1,3,262.66
46437.13,1754,24,50.77,7,74.39
42866.98,477,21,94.06,5,106.75
15466.04,1096,40,42.8,2,126.76
29977.01,163,62,1.59,4,6.41
42417.22,85,39,23.64,3,93.41
33616.79,523,58,50.06,4,158.02
104813.64,390,46,54.06,7,185.72
44769.58,246,48,55.24,4,123.05
99572.8,439,24,71.46,4,216.86
50713.0,6421,54,27.46,7,151.36
50034.86,929,37,66.49,0,190.0
46684.24,1152,53,70.4,4,142.38
49123.26,938,31,41.13,4,198.24
126163.91,1771,44,40.22,4,321.87
13687.17,333,46,17.89,3,86.96
16303.74,51,39,41.4,4,58.48
36361.15,334,47,78.68,3,116.91
49414.06,908,38,90.9,5,155.77
71650.64,152,33,59.36,1,173.15
63589.14,338,62,29.94,3,94.72
39682.47,201,55,68.23,1,152.61
85860.06,1811,32,74.01,2,269.93
86388.3,853,49,33.22,4,214.72
54243.14,773,32,82.65,0,149.24
83238.2,751,26,7.37,1,168.34
56951.48,388,55,1.08,6,120.06
35996.76,491,19,12.3,5,98.15
71955.22,123,54,15.6,6,105.3
52095.68,45,38,87.89,1,170.65
49056.94,468,39,42.5,2,158.05
110207.97,557,47,27.49,4,186.32
12733.87,1351,49,42.91,3,127.74
22477.58,1941,31,39.48,1,109.34
25517.28,1939,51,30.15,3,116.36
40143.13,148,43,13.79,4,122.76
42615.17,283,25,65.59,2,155.16
21396.25,652,39,13.66,1,128.81
28514.36,5074,59,77.54,2,135.65
30532.2,1772,63,20.17,5,139.35
189393.71,1235,51,73.14,4,281.99
132052.93,273,26,80.56,3,184.29
39086.71,166,48,12.53,4,135.06
40136.01,887,53,8.67,3,111.19
26054.29,134,51,94.96,2,136.74
17163.29,317,52,46.3,0,110.2
45968.69,359,46,63.02,5,96.72
28315.97,1984,41,2.33,1,92.6
46785.67,282,34,27.87,4,148.8
20330.69,35,18,50.54,3,80.79
32238.42,668,46,88.62,1,120.51
53196.34,200,44,27.14,3,105.94
59958.94,420,49,77.52,2,203.64
61673.5,369,24,66.22,4,184.07
23711.87,306,50,11.53,3,21.9
78439.05,889,68,29.34,3,232.44
31567.51,87,43,23.79,2,135.61
69429.83,240,41,44.25,3,156.81
48734.8,799,46,63.53,2,98.14
22993.96,218,68,43.34,7,49.63
41195.79,80,28,24.45,1,116.73
59931.05,787,44,69.59,1,168.1
68674.34,1240,31,58.45,1,225.87
45363.21,385,34,51.93,5,209.8
113831.94,56,41,55.44,4,222.87
85317.16,817,59,22.19,4,171.65
42567.24,76,65,68.04,0,104.39
74055.27,549,47,38.75,5,212.83
142000.58,166,37,36.35,3,233.08
144100.54,126,74,14.97,2,215.86
24949.28,259,36,59.68,4,100.7
29448.75,335,34,60.27,3,129.78
110935.62,211,18,34.03,4,165.84
27390.33,726,60,85.99,2,98.83
